reservation_code,listing_id,guest_id,check_in,check_out,net_revenue,platform,cleaning_fee,pet_fee
HMMRJJPASH,2,1,2026-05-03,2026-05-04,56165,Airbnb,22000,0
HMA8P8CJ5K,2,2,2026-04-30,2026-05-03,151395,Airbnb,27000,0
HM5K3M8B58,2,3,2026-04-25,2026-04-27,105471,Airbnb,22000,5000
HMA2HPHK83,2,4,2026-04-01,2026-04-03,102086,Airbnb,22000,5000
HM3AST5ECP,2,5,2026-04-03,2026-04-05,128943,Airbnb,22000,0
HMT8KYKRXW,2,6,2026-03-26,2026-03-28,110881,Airbnb,22000,5000
HMW5ZR2TEE,2,7,2026-03-28,2026-03-29,69145,Airbnb,22000,0
HMDNBADDZW,2,8,2026-03-20,2026-03-22,120381,Airbnb,22000,0
HMPQKYDH5K,2,9,2026-03-09,2026-03-11,97049,Airbnb,22000,0
HMZT82E3WX,2,10,2026-03-11,2026-03-15,223376,Airbnb,27000,0
HM2RFZ4Q83,2,11,2026-03-08,2026-03-09,67779,Airbnb,22000,5000
HMJRBHYN28,2,12,2026-03-06,2026-03-08,128646,Airbnb,22000,0
HMDR3PZ9M4,2,13,2026-03-03,2026-03-06,158748,Airbnb,27000,0
HMPD4NEAH5,2,14,2026-02-26,2026-02-27,70971,Airbnb,22000,0
HMFQTSEYNP,2,15,2026-02-27,2026-03-01,149869,Airbnb,22000,0
HMMKMY2HJX,2,16,2026-02-23,2026-02-26,204432,Airbnb,27000,0
HMC85CAPFN,2,17,2026-02-20,2026-02-21,89490,Airbnb,22000,0
HMPEETHYWX,2,18,2026-02-21,2026-02-23,154288,Airbnb,22000,0
HM3PF3QFAC,2,19,2026-02-17,2026-02-20,193825,Airbnb,27000,0
HM5WFEK4YP,2,20,2026-02-15,2026-02-17,133073,Airbnb,22000,0
HMN8ADFPKF,2,21,2026-02-13,2026-02-15,178781,Airbnb,22000,5000
HMRZR84DDS,2,22,2026-02-12,2026-02-13,68947,Airbnb,22000,0
HMFQQYW49Y,2,23,2026-02-10,2026-02-12,127286,Airbnb,22000,0
HMJXFFPBPH,2,24,2026-02-07,2026-02-09,139824,Airbnb,22000,0
HM5TSEXKEP,2,25,2026-02-02,2026-02-07,290929,Airbnb,27000,0
HM8T9M3HF4,2,26,2026-01-26,2026-02-02,406513,Airbnb,27000,0
HMBEAZNWR5,2,27,2026-01-23,2026-01-26,180324,Airbnb,27000,0
HM9HEEYN5R,2,28,2026-01-20,2026-01-22,106073,Airbnb,22000,0
HMPKDMPESN,3,29,2026-05-01,2026-05-03,172298,Airbnb,25000,0
HMQZ9NCEWY,3,30,2026-04-29,2026-05-01,107111,Airbnb,25000,0
HMW3ZD9PA9,3,31,2026-04-23,2026-04-26,181037,Airbnb,30000,0
HMPH5FCEY3,3,32,2026-04-15,2026-04-21,340403,Airbnb,30000,0
HM9HPF25KR,3,33,2026-04-09,2026-04-12,208884,Airbnb,30000,0
HMDPEWKCNX,3,34,2026-04-01,2026-04-03,124391,Airbnb,25000,0
HM9JHPARJY,3,35,2026-04-03,2026-04-05,168753,Airbnb,25000,0
HMSMKSPPTB,3,36,2026-03-29,2026-04-01,150993,Airbnb,30000,0
HMSSJT9BKY,3,37,2026-03-27,2026-03-29,130663,Airbnb,25000,0
HMX9RQ8TXP,3,38,2026-03-22,2026-03-27,256504,Airbnb,30000,15000
HM82SXWJFK,3,39,2026-03-16,2026-03-22,354861,Airbnb,30000,0
HMQS4H83QH,3,40,2026-03-13,2026-03-15,151532,Airbnb,25000,0
HMM5DZK9DA,3,41,2026-03-09,2026-03-12,159257,Airbnb,30000,0
HM5CXPDQDC,3,42,2026-03-06,2026-03-08,151532,Airbnb,25000,0
HM2NTEPFZ5,3,43,2026-03-02,2026-03-06,237445,Airbnb,30000,0
HMSZPWSEEQ,3,44,2026-02-26,2026-02-27,89924,Airbnb,25000,0
HMC3NFH4EY,3,45,2026-02-27,2026-03-01,194100,Airbnb,25000,0
HMMWN8Y5M8,3,46,2026-02-22,2026-02-26,308655,Airbnb,30000,0
HMYFPZ3TRS,3,47,2026-02-20,2026-02-22,245897,Airbnb,25000,10000
HMZXR35DCP,3,48,2026-02-19,2026-02-20,94122,Airbnb,25000,0
HM5QANHTMW,3,49,2026-02-16,2026-02-19,274821,Airbnb,30000,0
HMWBYJW38K,3,50,2026-02-15,2026-02-16,89690,Airbnb,25000,0
HM4SPE9MNT,3,51,2026-02-12,2026-02-15,268075,Airbnb,30000,0
HM29E3HNDM,3,52,2026-02-11,2026-02-12,80519,Airbnb,25000,0
HM8TRMCKMD,3,53,2026-02-08,2026-02-11,216968,Airbnb,30000,0
HMHQ83FWXZ,3,54,2026-02-05,2026-02-07,171645,Airbnb,25000,0
HMF5YSDRER,3,55,2026-02-07,2026-02-08,115713,Airbnb,25000,0
HM8SZHK89M,3,56,2026-02-01,2026-02-05,50337,Airbnb,0,0
HM8SZHK89M,3,57,2026-02-01,2026-02-05,195272,Airbnb,30000,0
HMRKQC3RJ5,3,58,2026-01-26,2026-02-01,441649,Airbnb,30000,10000
HMRHM2RYCZ,3,59,2026-01-20,2026-01-25,383791,Airbnb,30000,0
HM2FW5BP85,3,60,2026-01-16,2026-01-19,277719,Airbnb,30000,10000
